export_timestamp,trading_date,ticker,company,predicted_signal,signal_strength,confidence,confidence_percentage,confidence_level,close_price,price_risk,RSI,rsi_category,sell_probability,buy_probability,high_confidence
2025-11-26 08:27:57,2025-11-25,NVDA,NVIDIA Corporation,Oversold (Buy),Moderate,0.6024219673852881,60.2,Medium,177.82,Medium,36.60040067807048,Neutral,0.39757803261472546,0.6024219673852881,True
2025-11-26 08:27:57,2025-11-25,ODFL,"Old Dominion Freight Line, Inc.",Oversold (Buy),Moderate,0.6159876770979331,61.6,Medium,134.33,Medium,41.01421008637513,Neutral,0.384012322902085,0.6159876770979331,True
2025-11-26 08:27:57,2025-11-25,PAYX,"Paychex, Inc.",Oversold (Buy),Moderate,0.6141794866360576,61.4,Medium,112.11,Medium,37.2011661807578,Neutral,0.38582051336396106,0.6141794866360576,True
2025-11-26 08:27:57,2025-11-25,PEP,"PepsiCo, Inc.",Oversold (Buy),Moderate,0.6368774653853049,63.7,Medium,146.11,Medium,60.94276094276132,Neutral,0.36312253461471095,0.6368774653853049,True
2025-11-26 08:27:57,2025-11-25,PTON,"Peloton Interactive, Inc.",Oversold (Buy),Moderate,0.6292984896028807,62.9,Medium,6.74,Low,44.24778761061949,Neutral,0.37070151039713267,0.6292984896028807,True
2025-11-26 08:27:57,2025-11-25,SHOP,Shopify,Oversold (Buy),Moderate,0.6256656885343022,62.6,Medium,157.37,Medium,45.07716870675883,Neutral,0.37433431146571733,0.6256656885343022,True
2025-11-26 08:27:57,2025-11-25,SIRI,Sirius XM Holdings Inc.,Oversold (Buy),Moderate,0.6520149697933985,65.2,Medium,20.99,Low,33.526011560693476,Neutral,0.3479850302066144,0.6520149697933985,True
2025-11-26 08:27:57,2025-11-25,SNPS,"Synopsys, Inc.",Oversold (Buy),Moderate,0.6297465526675756,63.0,Medium,401.61,Medium,44.82330204306999,Neutral,0.3702534473324441,0.6297465526675756,True
2025-11-26 08:27:57,2025-11-25,SOFI,Soft Technologies,Oversold (Buy),Moderate,0.6029986464853373,60.3,Medium,28.33,Low,45.57026476578409,Neutral,0.3970013535146792,0.6029986464853373,True
2025-11-26 08:27:57,2025-11-25,TMUS,"T-Mobile US, Inc.",Oversold (Buy),Moderate,0.6501392860585132,65.0,Medium,206.9,Medium,53.571428571428605,Neutral,0.34986071394149626,0.6501392860585132,True
2025-11-26 08:27:57,2025-11-25,TSLA,"Tesla, Inc.",Oversold (Buy),Moderate,0.6192791001478145,61.9,Medium,419.4,Medium,35.78140619793402,Neutral,0.38072089985220164,0.6192791001478145,True
2025-11-26 08:27:57,2025-11-25,TSM,Taiwan Semiconductor Manufacturing Company Limited,Oversold (Buy),Moderate,0.663111796364411,66.3,Medium,284.68,Medium,42.520868113522454,Neutral,0.33688820363560706,0.663111796364411,True
2025-11-26 08:27:57,2025-11-25,TTWO,"Take-Two Interactive Software, Inc.",Oversold (Buy),Moderate,0.6348926187100692,63.5,Medium,241.84,Medium,38.670641880042105,Neutral,0.36510738128995035,0.6348926187100692,True
2025-11-26 08:27:57,2025-11-25,TXN,Texas Instruments Incorporated,Oversold (Buy),Moderate,0.6177221448928084,61.8,Medium,161.77,Medium,47.01195219123494,Neutral,0.3822778551072103,0.6177221448928084,True
2025-11-26 08:27:57,2025-11-25,VRSK,"Verisk Analytics, Inc.",Oversold (Buy),Moderate,0.628651688278224,62.9,Medium,223.02,Medium,62.531433361273955,Neutral,0.3713483117217924,0.628651688278224,True
2025-11-26 08:27:57,2025-11-25,VTRS,Viatris Inc.,Oversold (Buy),Moderate,0.6482892286014654,64.8,Medium,10.56,Low,47.0588235294117,Neutral,0.35171077139854917,0.6482892286014654,True
2025-11-26 08:27:57,2025-11-25,WBD,"Warner Bros. Discovery, Inc.",Oversold (Buy),Moderate,0.6222724222199014,62.2,Medium,22.96,Low,51.81159420289851,Neutral,0.3777275777801141,0.6222724222199014,True
2025-11-26 08:27:57,2025-11-25,XEL,Xcel Energy Inc.,Oversold (Buy),Moderate,0.638578256988165,63.9,Medium,80.39,Low,44.444444444444656,Neutral,0.3614217430118559,0.638578256988165,True
